Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1[15:0],design_1_i/system_ila_0/inst/probe2_1[15:0],design_1_i/system_ila_0/inst/probe3_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX,HEX
904,904,0,1,-8677,c66a,c64b
905,905,0,1,-8932,c66a,c44e
906,906,0,1,-8932,c66a,c44e
907,907,0,1,-8932,c66a,c44e
908,908,0,1,-8932,c36f,c34f
909,909,0,1,-8932,c36f,c34f
910,910,0,1,-8932,c36f,c34f
911,911,0,1,-9187,c36f,c34f
912,912,0,1,-9187,c36f,c34f
913,913,0,1,-9187,c36f,c34f
914,914,0,1,-9187,c36f,c34f
915,915,0,1,-9187,c36f,c34f
916,916,0,1,-9187,c36f,c34f
917,917,0,1,-9187,c36f,c34f
918,918,0,1,-9187,c36f,c34f
919,919,0,1,-9187,c36f,c34f
920,920,0,1,-9442,c36f,c250
921,921,0,1,-9442,c36f,c250
922,922,0,1,-9442,c36f,c250
923,923,0,1,-9442,c173,c053
924,924,0,1,-9442,c173,c053
925,925,0,1,-9442,c173,c053
926,926,0,1,-9697,c074,c053
927,927,0,1,-9697,c074,c053
928,928,0,1,-9697,c074,c053
929,929,0,1,-9697,c074,c053
930,930,0,1,-9697,c074,c053
931,931,0,1,-9697,c074,c053
932,932,0,1,-9697,c074,c053
933,933,0,1,-9697,c074,c053
934,934,0,1,-9697,c074,c053
935,935,0,1,-9697,c074,c053
936,936,0,1,-9697,c074,c053
937,937,0,1,-9697,c074,c053
938,938,0,1,-9952,bf76,bd57
939,939,0,1,-9952,bf76,bd57
940,940,0,1,-9952,bf76,bd57
941,941,0,1,-10207,bd79,bd57
942,942,0,1,-10207,bd79,bd57
943,943,0,1,-10207,bd79,bd57
944,944,0,1,-10207,bd79,bd57
945,945,0,1,-10207,bd79,bd57
946,946,0,1,-10207,bd79,bd57
947,947,0,1,-10207,bd79,bd57
948,948,0,1,-10207,bd79,bd57
949,949,0,1,-10207,bd79,bd57
950,950,0,1,-10207,bd79,bd57
951,951,0,1,-10207,bd79,bd57
952,952,0,1,-10207,bd79,bd57
953,953,0,1,-10462,bd79,bb5a
954,954,0,1,-10462,bd79,bb5a
955,955,0,1,-10462,bd79,bb5a
956,956,0,1,-10462,ba7e,ba5b
957,957,0,1,-10462,ba7e,ba5b
958,958,0,1,-10462,ba7e,ba5b
959,959,0,1,-10717,ba7e,ba5b
960,960,0,1,-10717,ba7e,ba5b
961,961,0,1,-10717,ba7e,ba5b
962,962,0,1,-10717,ba7e,ba5b
963,963,0,1,-10717,ba7e,ba5b
964,964,0,1,-10717,ba7e,ba5b
965,965,0,1,-10717,ba7e,ba5b
966,966,0,1,-10717,ba7e,ba5b
967,967,0,1,-10717,ba7e,ba5b
968,968,0,1,-10972,ba7e,b95c
969,969,0,1,-10972,ba7e,b95c
970,970,0,1,-10972,ba7e,b95c
971,971,0,1,-10972,b882,b75f
972,972,0,1,-10972,b882,b75f
973,973,0,1,-10972,b882,b75f
974,974,0,1,-11227,b783,b75f
975,975,0,1,-11227,b783,b75f
976,976,0,1,-11227,b783,b75f
977,977,0,1,-11227,b783,b75f
978,978,0,1,-11227,b783,b75f
979,979,0,1,-11227,b783,b75f
980,980,0,1,-11227,b783,b75f
981,981,0,1,-11227,b783,b75f
982,982,0,1,-11227,b783,b75f
983,983,0,1,-11227,b783,b75f
984,984,0,1,-11227,b783,b75f
985,985,0,1,-11227,b783,b75f
986,986,0,1,-11482,b685,b463
987,987,0,1,-11482,b685,b463
988,988,0,1,-11482,b685,b463
989,989,0,1,-11737,b488,b463
